			Max	Contig	Max-Head(max)	Contig-Head(max)	Max-Head(inter)	Contig-Head(inter)	Max-min1	Contig-min1	Max-min[Hdinter1]	Contig-min[Hdinter1]	RealizeMorph
			Max	Contig	Max-Hd(max)	Cont-Hd(max)	Max-Head(inter)	Cont-Hd(inter)	Max-min1	Cont-min1	Max-min[Hdinter1]	Contig-min[Hdinter1]	RealizeMorph
12345	1	1	4	1	1		2			1	1		
	2	1	4	1	1		1	1	1			1	
	3	1	4	1	1		2		1		1		
	4	1	4	1	1		1	1	1		1		
	5	1	4	1		1	2		1		1		
	"1,2"	1	3	2	1		1	1		1		1	
	"1,3"	1	3	2	1		2			1	1		
	"1,4"	1	3	2	1		1	1		1	1		
	"1,5"	1	3	2		1	2			1	1		
	"2,3"	1	3	2	1		1	1	1			1	
	"2,4"	1	3	2	1			2	1			1	
	"2,5"	1	3	2		1	1	1	1			1	
	"3,4"	1	3	2	1		1	1	1		1		
	"3,5"	1	3	2		1	2		1		1		
	"4,5"	1	3	2		1	1	1	1		1		
	"1,2,3"	1	2	3	1		1	1		1		1	
	"1,2,4"	1	2	3	1			2		1		1	
	"1,2,5"	1	2	3		1	1	1		1		1	
	"1,3,4"	1	2	3	1		1	1		1	1		
	"1,3,5"	1	2	3		1	2			1	1		
	"1,4,5"	1	2	3		1	1	1		1	1		
	"2,3,4"	1	2	3	1			2	1			1	
	"2,3,5"	1	2	3		1	1	1	1			1	
	"2,4,5"	1	2	3		1		2	1			1	
	"3,4,5"	1	2	3		1	1	1	1		1		
	"1,2,3,4"	1	1	4	1			2		1		1	
	"1,2,3,5"	1	1	4		1	1	1		1		1	
	"1,2,4,5"	1	1	4		1		2		1		1	
	"1,3,4,5"	1	1	4		1	1	1		1	1		
	"2,3,4,5"	1	1	4		1		2	1			1	
	"1,2,3,4,5"	1		5		1		2		1		1	
	0		1		1		1		1		1		1
